CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,999,2022,4,4,29.8,V,40.2,V,55.1,V,47.9,V,35.5,V,30.3,V,25,V,20.9,V,19.4,V,21.7,V,21.4,V,19.9,V,20.7,V,22,V,22.3,V,23.1,V,22.3,V,19.8,V,20.1,V,19.7,V,20,V,19.7,V,23,V,21.7,V
08,Barcelona,019,Barcelona,043,999,2022,4,5,30.6,V,26.2,V,29.3,V,30.4,V,23.2,V,19.1,V,16.2,V,15.3,V,15.2,V,14.9,V,15.7,V,14.7,V,16.3,V,18.4,V,19.8,V,19.1,V,19.4,V,16.7,V,20.2,V,15.8,V,19.5,V,17.3,V,21.1,V,24,V
08,Barcelona,019,Barcelona,043,999,2022,4,6,24.3,V,29.6,V,26.9,V,28.8,V,30.2,V,26.9,V,22.5,V,19.6,V,16.6,V,18,V,16.9,V,17,V,20.6,V,19.1,V,17.5,V,20.5,V,20.8,V,20.6,V,21.8,V,21.9,V,23.6,V,21.9,V,22.7,V,23.9,V
08,Barcelona,019,Barcelona,043,999,2022,4,7,26,V,24.3,V,21.3,V,22.7,V,19.1,V,23.7,V,24,V,22,V,18,V,15.8,V,15,V,17.7,V,18.1,V,18.8,V,20.6,V,25.5,V,25.3,V,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,999,2022,4,4,16.2,V,43,V,50.8,V,34.9,V,28,V,26.6,V,20.4,V,19.6,V,16.8,V,16.7,V,16,V,19.5,V,16.8,V,13.8,V,17.8,V,15.4,V,16.6,V,15.2,V,14.3,V,14.2,V,14.6,V,16.1,V,17.1,V,19.2,V
08,Barcelona,019,Barcelona,054,999,2022,4,5,27.2,V,19.3,V,32,V,33.2,V,30.3,V,18.6,V,17.4,V,12.7,V,10.1,V,14.6,V,20,V,17.5,V,15.8,V,18.9,V,19,V,18.9,V,17.8,V,16.8,V,15.7,V,16.8,V,14.6,V,13.2,V,14.8,V,18.5,V
08,Barcelona,019,Barcelona,054,999,2022,4,6,19.4,V,21.2,V,26.2,V,25.6,V,26.6,V,22,V,18.2,V,8.3,V,8,V,10.5,V,14.9,V,12.2,V,13,V,15.7,V,16,V,18.4,V,20.7,V,22.7,V,19.2,V,16.3,V,15.3,V,19.6,V,18.6,V,11.5,V
08,Barcelona,019,Barcelona,054,999,2022,4,7,12.3,V,12.6,V,16.3,V,16.2,V,20.3,V,18.7,V,14.1,V,10.8,V,12,V,16.4,V,15.6,V,21.8,V,16,V,20,V,27.1,V,27.3,V,19.3,V,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,22,2022,4,4,682,V,671,V,861,V,527,V,550,V,799,V,875,V,1982,V,2615,V,1792,V,1487,V,983,V,1021,V,899,V,768,V,761,V,747,V,1037,V,781,V,961,V,1047,V,1069,V,1195,V,1128,V
08,Barcelona,019,Barcelona,043,22,2022,4,5,1141,V,1061,V,705,V,621,V,714,V,867,V,1918,V,3877,V,5197,V,3247,V,1638,V,2247,V,1967,V,1471,V,1157,V,1348,V,1065,V,1164,V,1072,V,2271,V,1594,V,1308,V,809,V,674,V
