CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
08,Barcelona,019,Barcelona,043,999,2022,4,18,24.2,V,22.2,V,20.1,V,16.9,V,14.9,V,20.5,V,24.1,V,23.2,V,20.5,V,20.4,V,18.7,V,16.2,V,19.4,V,19,V,18.1,V,22.4,V,18.8,V,20.3,V,20.2,V,20,V,23.1,V,19.6,V,18.6,V,20.9,V
08,Barcelona,019,Barcelona,043,999,2022,4,19,19.2,V,10.9,V,14.6,V,17,V,17.2,V,18.7,V,21.3,V,22.5,V,14.2,V,14.9,V,15.8,V,15,V,14.2,V,14.7,V,15,V,14,V,14.6,V,16.1,V,17.1,V,18.2,V,17.1,V,14.7,V,17.3,V,18.2,V
08,Barcelona,019,Barcelona,043,999,2022,4,20,19.5,V,22.3,V,20.2,V,20.1,V,20.5,V,18.7,V,16.8,V,16.2,V,14.7,V,15.7,V,17,V,17.6,V,17.8,V,17.8,V,18,V,16.3,V,16.8,V,17.1,V,18.3,V,16.5,V,17.2,V,21.7,V,17.3,V,22.2,V
08,Barcelona,019,Barcelona,043,999,2022,4,21,28.5,V,25.3,V,26.9,V,30.2,V,19.1,V,26.6,V,23.6,V,18.2,V,18.8,V,22,V,16,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,054,999,2022,4,18,13.1,V,12.4,V,12.2,V,13.3,V,13.8,V,12.8,V,12.5,V,12.7,V,14.8,V,18.4,V,22.2,V,12.7,V,11.8,V,17.8,V,16.9,V,19.9,V,24.2,V,23.2,V,18.8,V,14.9,V,16.8,V,16.1,V,13.7,V,9.8,V
08,Barcelona,019,Barcelona,054,999,2022,4,19,13.6,V,16.9,V,16.8,V,18,V,16.5,V,13.6,V,9.5,V,7.8,V,11,V,10.9,V,11.5,V,11.6,V,10.8,V,11.8,V,14.4,V,14.6,V,17.2,V,20.7,V,17.6,V,19.5,V,14.1,V,12.5,V,14.6,V,14.9,V
08,Barcelona,019,Barcelona,054,999,2022,4,20,16.6,V,17.4,V,19.8,V,21.9,V,19.4,V,14.6,V,11.2,V,8.6,V,10.8,V,9.5,V,,N,,N,,N,13.1,V,14.8,V,13.6,V,11.8,V,13.5,V,14.4,V,14.4,V,14.9,V,15.5,V,16.6,V,20.5,V
08,Barcelona,019,Barcelona,054,999,2022,4,21,19.8,V,16.6,V,18.3,V,24.5,V,20.5,V,21.2,V,15.5,V,7.5,V,8.8,V,9.5,V,9.8,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N
08,Barcelona,019,Barcelona,043,22,2022,4,18,745,V,738,V,1162,V,2027,V,1826,V,1188,V,817,V,1148,V,1611,V,3143,V,2465,V,2234,V,1426,V,1334,V,1104,V,717,V,721,V,1256,V,1198,V,1539,V,1556,V,1108,V,1230,V,886,V
08,Barcelona,019,Barcelona,043,22,2022,4,19,1286,V,2436,V,1862,V,2036,V,1586,V,1539,V,2166,V,3923,V,4113,V,4055,V,2932,V,4291,V,2793,V,2644,V,2377,V,2463,V,1743,V,1644,V,1400,V,1479,V,1898,V,2095,V,1831,V,1556,V
